time,power
2021-05-27T14:39:07+00:00,85517.0
2021-05-27T14:39:08+00:00,84914.0
2021-05-27T14:39:09+00:00,84392.0
2021-05-27T14:39:10+00:00,83917.0
2021-05-27T14:39:11+00:00,83844.0
2021-05-27T14:39:12+00:00,83388.0
2021-05-27T14:39:13+00:00,82714.0
2021-05-27T14:39:14+00:00,81771.0
2021-05-27T14:39:15+00:00,81301.0
2021-05-27T14:39:16+00:00,80920.0
2021-05-27T14:39:17+00:00,80355.0
2021-05-27T14:39:18+00:00,79874.0
2021-05-27T14:39:19+00:00,79539.0
2021-05-27T14:39:20+00:00,78943.0
2021-05-27T14:39:21+00:00,78421.0
2021-05-27T14:39:22+00:00,77746.0
2021-05-27T14:39:23+00:00,77260.0
2021-05-27T14:39:24+00:00,76586.0
2021-05-27T14:39:25+00:00,76010.0
2021-05-27T14:39:26+00:00,75331.0
2021-05-27T14:39:27+00:00,74496.0
2021-05-27T14:39:28+00:00,73597.0
2021-05-27T14:39:29+00:00,72829.0
2021-05-27T14:39:30+00:00,71889.0
2021-05-27T14:39:31+00:00,70814.0
2021-05-27T14:39:32+00:00,69981.0
2021-05-27T14:39:33+00:00,70893.0
2021-05-27T14:39:34+00:00,75736.0
2021-05-27T14:39:35+00:00,77884.0
2021-05-27T14:39:36+00:00,77893.0
2021-05-27T14:39:37+00:00,77893.0
2021-05-27T14:39:38+00:00,77894.0
2021-05-27T14:39:39+00:00,77903.0
2021-05-27T14:39:40+00:00,77824.0
2021-05-27T14:39:41+00:00,77727.0
2021-05-27T14:39:42+00:00,77747.0
2021-05-27T14:39:43+00:00,77774.0
2021-05-27T14:39:44+00:00,77705.0
2021-05-27T14:39:45+00:00,77688.0
2021-05-27T14:39:46+00:00,77682.0
2021-05-27T14:39:47+00:00,77650.0
2021-05-27T14:39:48+00:00,77663.0
2021-05-27T14:39:49+00:00,77702.0
2021-05-27T14:39:50+00:00,77647.0
2021-05-27T14:39:51+00:00,77541.0
2021-05-27T14:39:52+00:00,77166.0
2021-05-27T14:39:53+00:00,76136.0
2021-05-27T14:39:54+00:00,75605.0
2021-05-27T14:39:55+00:00,73586.0
2021-05-27T14:39:56+00:00,73111.0
2021-05-27T14:39:57+00:00,73067.0
2021-05-27T14:39:58+00:00,72998.0
2021-05-27T14:39:59+00:00,72786.0
2021-05-27T14:40:00+00:00,72286.0
2021-05-27T14:40:01+00:00,71167.0
2021-05-27T14:40:02+00:00,70713.0
2021-05-27T14:40:03+00:00,68612.0
2021-05-27T14:40:04+00:00,68372.0
2021-05-27T14:40:05+00:00,68378.0
2021-05-27T14:40:06+00:00,68385.0
2021-05-27T14:40:07+00:00,68387.0
2021-05-27T14:40:08+00:00,68829.0
2021-05-27T14:40:09+00:00,69433.0
2021-05-27T14:40:10+00:00,69444.0
2021-05-27T14:40:11+00:00,69566.0
2021-05-27T14:40:12+00:00,69483.0
2021-05-27T14:40:13+00:00,69831.0
2021-05-27T14:40:14+00:00,71131.0
2021-05-27T14:40:15+00:00,69221.0
2021-05-27T14:40:16+00:00,72048.0
2021-05-27T14:40:17+00:00,72908.0
2021-05-27T14:40:18+00:00,72282.0
2021-05-27T14:40:19+00:00,68267.0
2021-05-27T14:40:20+00:00,67765.0
2021-05-27T14:40:21+00:00,67717.0
2021-05-27T14:40:22+00:00,67704.0
2021-05-27T14:40:23+00:00,67693.0
2021-05-27T14:40:24+00:00,67661.0
2021-05-27T14:40:25+00:00,67619.0
2021-05-27T14:40:26+00:00,67616.0
2021-05-27T14:40:27+00:00,67615.0
2021-05-27T14:40:28+00:00,67903.0
